module_name	definition_fix
M00001	(K00844,K12407,K00845,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 (((K00134,K00150) K00927),K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00002	K01803 (((K00134,K00150) K00927),K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)
M00003	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 (((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041)),K01622)
M00015	((K00931 K00147),K12657) ? K00286
M00022	(K01626,K03856,K13853) (((K01735,K13829) (((K03785,K03786) K00014),K13832)),K13830) (((K00891,K13829) K00800),K13830) K01736
M00024	(((K01850,K04092,K14187,K04093,K04516,K06208,K06209,K13853) (K01713,K04518,K05359)),K14170) (K00832,K00838)
M00025	(((K01850,K04092,K14170,K04093,K04516,K06208,K06209,K13853) (K00210,K04517)),K14187) (K00815,K00832,K00838)
M00026	(K00765-K02502) ((K01523 K01496),K11755,K14152) K01814 (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)
M00028	(K00618,K00619,K14681,K14682,K00620,K22477,K22478) (((K00930,K22478) K00145),K12659) (K00818,K00821) (K01438,K14677,K00620)
M00032	((K00290 K00293),K14157) K14085 K00825 K00164 K00658 K00252 (K01825,K01782,K07514,((K01692,K07515,K07511) K00022))
M00034	K00789 K01611 K00797 (((K01243,K18284,K01244) K00899),K00772) K08963 (K16054,(K08964 (K09880,(K08965 K08966)))) K08967 (K00815,K08969,K00832,K00838)
M00046	(K00207,K17722+K17723) K01464 (K01431,K06016)
M00048	K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) K01952 (K01933,K11787,(K11788 (K01587,K11808,(K01589 K01588)))) (K01923,K01587,K13713) K01756 (K00602,K01492,(K06863 K11176))
M00051	(K11540,(K11541 K01465),((K01954,K01955+K01956) (K00609+K00610,K00608) K01465)) (K00226,K00254,K17828) (K13421,(K00762 K01591))
M00085	(K07508,K07509) ((K00022 K07511),K07515) K07512
M00114	(((K01810,K06859,K13810) (K01809,K16011)),K15916) (K16881,((K17497,K01840,K15778) (K00966,K00971,K16011))) K10046 K14190 (K10047,K18649) (K00064,K17744) K00225
M00116	(((K01851,K02552,K02361) K02551 K08680 K02549),K14759) (K01911,K14760) K01661 (K12073,K19222) K02548 K03183
M00120	(K00867,K03525,K09680,K01947) (((K01922,K21977) K01598),K13038) (K02318,((K00954,K02201) K00859))
M00123	K00652 (((K00833,K19563) K01935),K19562) K01012
M00125	((K01497,K14652) ((K01498 K00082),K11752) (K22912,K20860,K20861,K20862,K21063,K21064)) (K02858,K14652) (K00794 K00793 (((K00861,K20884) (K00953,K22949)),K11753))
M00126	(K01495,K09007,K22391) (K01077,K01113,K08310,K19965) (K13939,((K13940,(K01633 K00950)) K00796),(K01633 K13941)) (K11754,K20457) (K00287,K13998)
M00173	(K00169+K00170+K00171+K00172,K03737) (((K01007,K01006) K01595),K01959+K01960,K01958) K00024 (K01676,K01679,K01677+K01678) (K00239+K00240-K00241-K00242,K00244+K00245-K00246-K00247,K18556+K18557+K18558+K18559+K18560) (K01902+K01903) (K00174+K00175-K00177-K00176) K00031 (K01681,K01682) (K15230+K15231,(K15232+K15233 K15234))
M00308	K05308 K00874 K01625 ((K00134 K00927),K00131,K18978)
M00345	(((K08093,K13812) K08094),K13831) (K00850,K16370) K01624
M00357	((K00925 (K00625,K13788)),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))
M00433	K01655 ((K17450 K01705),K16792+K16793) K05824
M00516	(K11231,K19690,K19691,K19692) K11232 (K11233,K15859)
M00546	(K00106,K00087+K13479+K13480,K13481+K13482,K11177+K11178+K13483) (K00365,K16838,K16839,K22879) (K13484,(K07127 (K13485,K16838,K16840))) (K01466,K16842) K01477
M00580	((K08094 (K08093,K13812)),K13831) K01807
M00651	((K18345 K18344 K07260 K18346),(K18351 K18352 K18354 K18353)) K18347 K15739 K08641
M00717	((K18940 K18941),K18906) K08153
M00742	((K07638 K07659 K19416),(K04088 K04087)) K03798
M00745	((K18072 K18073),(K07644 K07665),K18297) K18093
M00778	K05551+K05552+K05553 K12420 (((K05554,K14249,K15884,K15885) (K05555,K14250)),K15886)
M00811	(K20170,K20169) (K20170,(K20158 K19700)) K20171-K20172 (K15359,K18276)
M00820	(K20973,K20974,K20975) K20976 K20977
M00854	((K00963 (K00693+K00750,K16150,K16153,K13679,K20812)),(K00975 (K00703,K13679,K20812))) (K00700,K16149)
